uid,subj_id,utterance,pa_step,bt_step,block,buttonOrder,buttonPosition,contour,countDelay,countUp,forcedChoiceRT,presentationOrder,response,response_binary,start,end,erb_diff,st_diff,start_erb,end_erb,start_erb_centered,end_erb_centered,tcog_t_raw,tcog_f_raw,tcog_t_centered,tcog_f_centered,tcog_t_semitone,tcog_f_semitone,st_tcog,global_pattern,duration,age,gender,born_in_us,time_in_us,has_music_training,music_details,speaks_other_lang,other_lang_details,age_learned_english,aq_comm,aq_social,loneliness_score,logrt
1,56ee27ad65ca4d000cc39dd3,bronville,4,5,1,ta,right,4_5,3047,18,879,1,asking,0,100,147.29848706238238,1.1782206457496187,6.704911346252346,3.0151029340302955,4.193323579779914,0.2668983551243471,1.4451190008739658,0.580458254529913,116.11753320149835,0.7569508341975343,26.11753320149835,0.7383054271184688,4.304215292102494,4.411067067166195,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.778784897685177
2,56ee27ad65ca4d000cc39dd3,branning,5,3,1,ta,left,5_3,3973,30,1115,2,telling,1,110,102.02442198493041,-0.2071003893612655,-1.3030678399057682,3.2754239691411797,3.068323579779914,0.5272193902352313,0.32011900087396583,0.5024043937796685,103.27838263041895,0.5193312932251082,13.278382630418953,0.5188193609035255,2.3933642112602045,2.38249687625715,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,7.016609683894219
3,56ee27ad65ca4d000cc39dd3,grandma,4,3,1,ta,left,4_3,4194,6,1046,3,telling,1,100,102.02442198493041,0.05322064574961871,0.34697444509345005,3.0151029340302955,3.068323579779914,0.2668983551243471,0.32011900087396583,0.5322002892496899,99.79344470838839,0.624069052666426,9.793444708388385,0.6190261278490284,1.8218681988573495,1.788240583393288,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.952728644624869
4,56ee27ad65ca4d000cc39dd3,greenview,5,4,1,ta,right,5_4,4341,12,690,4,asking,0,110,124.05699442806409,0.3553996106387345,2.0819946482570297,3.2754239691411797,3.630823579779914,0.5272193902352313,0.8826190008739658,0.5239215609964303,113.47626955008792,0.6416001294743899,23.47626955008792,0.6313739655739213,3.9974613757876734,4.0127246687793265,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.536691597591305
5,56ee27ad65ca4d000cc39dd3,broadway,2,2,1,ta,left,2_2,3105,46,1358,5,telling,1,80,81.1346582583131,0.03142632932198097,0.24381985859143213,2.4743972504579332,2.505823579779914,-0.27380732844801514,-0.24238099912603417,0.49378047771593003,80.97721269995925,0.5637254414061715,-9.022787300040752,0.5683152224811759,-1.7715791414906867,-1.8289081954033657,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,7.213768308118642
6,56ee27ad65ca4d000cc39dd3,branning,2,5,1,ta,right,2_5,4073,16,955,6,asking,0,80,147.29848706238238,1.718926329321981,10.568048484900695,2.4743972504579332,4.193323579779914,-0.27380732844801514,1.4451190008739658,0.5503069329822496,108.01258276021613,0.7353404005691527,18.012582760216127,0.7114495181413144,2.8267939083370828,3.158429762046138,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.86171134048073
7,56ee27ad65ca4d000cc39dd3,bronville,2,1,1,ta,left,2_1,3662,10,2621,7,telling,1,80,61.325523908511215,-0.531073670678019,-4.602148153361464,2.4743972504579332,1.9433235797799142,-0.27380732844801514,-0.8048809991260342,0.49729151246188613,69.17592375698239,0.7102749902429142,-20.824076243017622,0.7252237974533197,-4.654286761028026,-4.5558599653271985,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,7.8713112033234065
8,56ee27ad65ca4d000cc39dd3,grandma,1,3,1,ta,right,1_3,4139,16,1718,8,asking,0,70,102.02442198493041,0.875,6.52185251905055,2.193323579779914,3.068323579779914,-0.5548809991260342,0.32011900087396583,0.5471216391926647,83.81186832426707,0.49849479724194234,-6.188131675732933,0.4969723165202177,-1.299640330427804,-1.2332453727633026,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,7.4489161025442
9,56ee27ad65ca4d000cc39dd3,broadway,1,2,1,ta,left,1_2,3059,22,909,9,telling,1,70,81.1346582583131,0.3125,2.5555607939001854,2.193323579779914,2.505823579779914,-0.5548809991260342,-0.24238099912603417,0.4965008136369747,75.73597331193376,0.5194375032669326,-14.264026688066235,0.5206221321906079,-2.942738095936098,-2.9873553910528567,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.812345094177479
10,56ee27ad65ca4d000cc39dd3,greenview,1,4,1,ta,right,1_4,4067,10,795,10,asking,0,70,124.05699442806409,1.4375,9.906915007213346,2.193323579779914,3.630823579779914,-0.5548809991260342,0.8826190008739658,0.5315789483491095,91.90855632562759,0.5770893008991048,1.9085563256275984,0.5584201786882849,0.11399110961594949,0.3632901067969215,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.678342114654332
11,56ee27ad65ca4d000cc39dd3,branning,5,1,1,ta,right,5_1,3554,66,1751,11,asking,0,110,61.325523908511215,-1.3321003893612655,-10.115327577009031,3.2754239691411797,1.9433235797799142,0.5272193902352313,-0.8048809991260342,0.445192364139138,76.5977444631887,0.6220922785596167,-13.402255536811305,0.6496947580024597,-3.3088453381571403,-2.7914770921339906,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,7.467942332285852
12,56ee27ad65ca4d000cc39dd3,greenview,5,5,1,ta,right,5_5,3445,26,905,12,asking,0,110,147.29848706238238,0.9178996106387345,5.054869061253128,3.2754239691411797,4.193323579779914,0.5272193902352313,1.4451190008739658,0.5386585496345093,122.14535602745651,0.6874775320411043,32.14535602745653,0.6705015049720229,5.183060666130768,5.287225281063938,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.807934943699926
13,56ee27ad65ca4d000cc39dd3,grandma,3,3,1,ta,right,3_3,3477,54,761,13,asking,0,90,102.02442198493041,0.32011900087396583,2.171011566434052,2.7482045789059484,3.068323579779914,0,0.32011900087396583,0.5336594216125143,94.47324031657762,0.8427180277677881,4.473240316577618,0.8293719385661673,0.8621654791737711,0.8397688833107582,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.634633357861686
14,56ee27ad65ca4d000cc39dd3,bronville,3,4,1,ta,right,3_4,4885,30,492,14,asking,0,90,124.05699442806409,0.8826190008739658,5.556074054596848,2.7482045789059484,3.630823579779914,0,0.8826190008739658,0.5606034611684173,102.76671430236881,0.8528666613551773,12.766714302368808,0.8393330164143716,2.2566647987514727,2.296513810860452,rising,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,6.198478716492308
15,56ee27ad65ca4d000cc39dd3,broadway,4,1,1,ta,left,4_1,3747,70,1202,15,telling,1,100,61.325523908511215,-1.0717793542503813,-8.465285292009813,3.0151029340302955,1.9433235797799142,0.2668983551243471,-0.8048809991260342,0.44823296602457713,72.86433487114665,0.6901909572627491,-17.135665128853343,0.7039541532690913,-3.965913662788328,-3.6565460937306353,falling,157,37,Female,Yes,NA,Yes,"Clarinet, 1 year",No,NA,1,3,4,30,7.091742115095153
