uid,subj_id,utterance,pa_step,bt_step,block,buttonOrder,buttonPosition,contour,countDelay,countUp,forcedChoiceRT,presentationOrder,response,response_binary,start,end,erb_diff,st_diff,start_erb,end_erb,start_erb_centered,end_erb_centered,lowtarget,tcog_t_raw,tcog_f_raw,tcog_t_centered,tcog_f_centered,tcog_t_semitone,tcog_f_semitone,st_tcog,global_pattern,duration,age,gender,born_in_us,time_in_us,has_music_training,music_details,speaks_other_lang,other_lang_details,age_learned_english,aq_comm,aq_social,loneliness_score,logrt
1,55bb9ae7fdf99b26d27fda01,broadway,4,1,1,at,left,4_1,4419,24,1326,1,asking,0,120,61.325523908511215,-1.5861524517075551,-8.465285292009813,3.0151029340302955,1.9433235797799142,0.2668983551243471,-0.8048809991260342,61.325523908511215,0.5126917589771587,73.02758710694889,0.609633785672042,-16.972412893051114,0.6226435468095329,-4.010021329092086,-3.617801255313384,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,7.189922170745808
2,55bb9ae7fdf99b26d27fda01,branning,5,5,1,at,left,5_5,3700,74,863,2,asking,0,120,147.29848706238238,0.6638475482924449,5.054869061253128,3.2754239691411797,4.193323579779914,0.5272193902352313,1.4451190008739658,NA,0.577454750696212,118.4621987466723,0.630315326805735,28.462198746672296,0.5896035606966554,4.343240774103201,4.757158349207838,rising,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.760414691083428
3,55bb9ae7fdf99b26d27fda01,greenview,1,3,1,at,right,1_3,3589,76,623,3,telling,1,120,102.02442198493041,-0.46115245170755514,6.52185251905055,2.193323579779914,3.068323579779914,-0.5548809991260342,0.32011900087396583,102.02442198493041,0.5164804890075252,105.21453575418985,0.49335647254300596,15.214535754189853,0.48631380661560825,2.681671492721751,2.704045502207411,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.434546518787453
4,55bb9ae7fdf99b26d27fda01,bronville,1,4,1,at,right,1_4,3129,80,367,4,telling,1,120,124.05699442806409,0.10134754829244486,9.906915007213346,2.193323579779914,3.630823579779914,-0.5548809991260342,0.8826190008739658,NA,0.6168169599013112,120.60593937131425,0.6434518485066699,30.60593937131424,0.6371124487222235,5.120510672290392,5.067648594320958,rising,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,5.905361848054571
5,55bb9ae7fdf99b26d27fda01,grandma,4,4,1,at,right,4_4,3171,18,558,5,telling,1,120,124.05699442806409,0.10134754829244486,3.7320369332562473,3.0151029340302955,3.630823579779914,0.2668983551243471,0.8826190008739658,NA,0.5881119586620223,111.95119341675999,0.6167046746475943,21.95119341676,0.5890617096291033,3.5639484645888655,3.778476012794854,rising,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.324358962381311
6,55bb9ae7fdf99b26d27fda01,broadway,3,4,1,at,left,3_4,3538,80,433,6,asking,0,120,124.05699442806409,0.10134754829244486,5.556074054596848,2.7482045789059484,3.630823579779914,0,0.8826190008739658,NA,0.6009237237154191,118.96372103590286,0.6170833465344393,28.963721035902864,0.5947177600087371,4.820098956147241,4.83029726813003,rising,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.07073772800249
7,55bb9ae7fdf99b26d27fda01,grandma,3,3,1,at,right,3_3,3143,20,688,7,telling,1,120,102.02442198493041,-0.46115245170755514,2.171011566434052,2.7482045789059484,3.068323579779914,0,0.32011900087396583,102.02442198493041,0.5619608466250903,101.83863008786744,0.5167459587444048,11.838630087867445,0.5019135443668804,2.0805632250606014,2.1394561331157953,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.5337888379333435
8,55bb9ae7fdf99b26d27fda01,branning,3,1,1,at,right,3_1,3508,44,536,8,telling,1,120,61.325523908511215,-1.5861524517075551,-6.641248170669213,2.7482045789059484,1.9433235797799142,0,-0.8048809991260342,61.325523908511215,0.4744188269808237,75.8870686613097,0.5796838775515609,-14.112931338690315,0.5965833172653116,-3.481167998877746,-2.952851202681618,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,6.284134161070802
9,55bb9ae7fdf99b26d27fda01,bronville,3,2,1,at,right,3_2,3448,52,303,9,telling,1,120,81.1346582583131,-1.0236524517075551,-1.7952801587163143,2.7482045789059484,2.505823579779914,0,-0.24238099912603417,81.1346582583131,0.5044144806068928,88.94821109417992,0.43970029169739117,-1.0517889058200798,0.43007009603201724,-0.3079530534530304,-0.20351292967950405,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,5.713732805509369
10,55bb9ae7fdf99b26d27fda01,greenview,5,1,1,at,right,5_1,4710,8,1106,10,telling,1,120,61.325523908511215,-1.5861524517075551,-10.115327577009031,3.2754239691411797,1.9433235797799142,0.5272193902352313,-0.8048809991260342,61.325523908511215,0.4974819356382681,72.46908245592108,0.5782597131959382,-17.530917544078914,0.588711101654662,-4.1103177407245965,-3.750712478703037,falling,128,36,Female,Yes,NA,No,NA,No,NA,1,6,8,35,7.00850518208228
